ID,Paper,Order,Family,Superfam,Genus,genus.and.species,Collected.from,Host.Lat,Host.Long,N..treat.field.,mortality..treat.,N..control.,mortality..c.,or,ln.or,v.ln.or,Treatment,Temp,BdStrain,bd.ID,Lineage,Stated.location,Species.isolated.from,Bd.Lat,Bd.Long,distance,distkm,logdistkm,Bd.dose..spore.,logdose,duration
158a,Padgett-Flohr and Hayes 2011,Anura,Ranidae,Ranoidea,Rana,Rana_pretiosa," Joseph D. Grant County Park, Santa Clara, California",37.336819,-121.717272,9,0,10,0,1.11,0.1,4.200501253,strain #1,19,JEL284,32a,,Wisconsin,Lithobates pipiens,43.7844,-88.7879,2858684.883,2858.684883,3.45631818,1000000,6,56
94a,Brannelly et al 2012 DAO,Anura,Bufonidae,Bufonoidea,Incilius,Bufo_nebulifer,"Tulane UniversityêsHerbert Center in Belle Chase, Louisiana (29ç 53ê21.43êê N, 89ç 57ê 7.77êê W) ",29.940283,-90.119794,17,0.18,9,0,4.57,1.52,2.460822436,6d bd only,20,JEL411,36a,,"Guabal, Panama",Atelopus varius,8.5833,-82.5333,2493178.417,2493.178417,3.396927517,10000000,7,36
95a,Brannelly et al 2012 DAO,Anura,Bufonidae,Bufonoidea,Incilius,Bufo_nebulifer,"Tulane UniversityêsHerbert Center in Belle Chase, Louisiana (29ç 53ê21.43êê N, 89ç 57ê 7.77êê W) ",29.940283,-90.119794,17,0.47,9,0,17.03,2.83,2.328154188,11d bd only,20,JEL411,36a,,"Guabal, Panama",Atelopus varius,8.5833,-82.5333,2493178.417,2493.178417,3.396927517,10000000,7,36
285a,Venesky et al 2015,Caudata,Plethodontidae,Salamandroidea,Plethodon,Plethodon_cinereus,"Cuyahoga Valley National Park in Summit County, Ohio",41.227,-81.526,34,0.088235294,13,0.076923077,0.93,0.149531734,1.448924731,striped,18.5,JEL660,43a,,Ohio,,39.57,-82.08,189911.6999,189.9116999,2.280832545,1000000,6,14
287a,Venesky et al 2015,Caudata,Plethodontidae,Salamandroidea,Plethodon,Plethodon_cinereus,"Cuyahoga Valley National Park in Summit County, Ohio",41.227,-81.526,34,0.088235294,13,0.076923077,0.93,0.149531734,1.448924731,striped,18.5,JEL660,43a,,Ohio,,39.57,-82.08,189911.6999,189.9116999,2.280832545,1000000,6,14
289a,Venesky et al 2015,Caudata,Plethodontidae,Salamandroidea,Plethodon,Plethodon_cinereus,"Cuyahoga Valley National Park in Summit County, Ohio",41.227,-81.526,34,0.088235294,13,0.076923077,0.93,0.149531734,1.448924731,striped,18.5,JEL660,43a,,Ohio,,39.57,-82.08,189911.6999,189.9116999,2.280832545,1000000,6,14
286a,Venesky et al 2015,Caudata,Plethodontidae,Salamandroidea,Plethodon,Plethodon_cinereus,"Cuyahoga Valley National Park in Summit County, Ohio",41.227,-81.526,24,0.375,13,0,16.55,2.81,2.243853361,unstriped,18.5,JEL660,43a,,Ohio,,39.57,-82.08,189911.6999,189.9116999,2.280832545,1000000,6,14
288a,Venesky et al 2015,Caudata,Plethodontidae,Salamandroidea,Plethodon,Plethodon_cinereus,"Cuyahoga Valley National Park in Summit County, Ohio",41.227,-81.526,24,0.375,13,0,16.55,2.81,2.243853361,unstriped,18.5,JEL660,43a,,Ohio,,39.57,-82.08,189911.6999,189.9116999,2.280832545,1000000,6,14
290a,Venesky et al 2015,Caudata,Plethodontidae,Salamandroidea,Plethodon,Plethodon_cinereus,"Cuyahoga Valley National Park in Summit County, Ohio",41.227,-81.526,24,0.375,13,0,16.55,2.81,2.243853361,unstriped,18.5,JEL660,43a,,Ohio,,39.57,-82.08,189911.6999,189.9116999,2.280832545,1000000,6,14
61a,Raffel et al 2012,Anura,Hylidae,Hyloidea,Osteopilus,Osteopilus_septentrionalis,"Tampa, fl",28.109491,-82.352576,16,0.88,16,0.07,56.09,4.555097215,1.541245694,20 constant (dte),20,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,583311.177,583.311177,2.766644194,1000000,6,42
60a,Raffel et al 2012,Anura,Hylidae,Hyloidea,Osteopilus,Osteopilus_septentrionalis,"Tampa, fl",28.109491,-82.352576,8,0.88,8,0.13,24.6,3.869366632,2.267585122,15 constant (dte),15,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,583311.177,583.311177,2.766644194,1000000,6,42
52a,Raffel et al 2012,Anura,Hylidae,Hyloidea,Osteopilus,Osteopilus_septentrionalis,"Tampa, fl",28.109491,-82.352576,10,0,10,0.18,0.18,-1.71,2.644963233,25 constant,25,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,583311.177,583.311177,2.766644194,1000000,6,42
56a,Raffel et al 2012,Anura,Hylidae,Hyloidea,Osteopilus,Osteopilus_septentrionalis,"Tampa, fl",28.109491,-82.352576,8,0.13,8,0,3.43,1.23,2.912717458,25 constant (dte),25,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,583311.177,583.311177,2.766644194,1000000,6,42
62a,Raffel et al 2012,Anura,Hylidae,Hyloidea,Osteopilus,Osteopilus_septentrionalis,"Tampa, fl",28.109491,-82.352576,10,1,10,0.06,189,5.24,3.105339105,15 constant,15,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,583311.177,583.311177,2.766644194,1000000,6,42
108a,Raffel et al 2015,Urodela,Salamandridae,Salamandroidea,Notophthalmus,Notophthalmus_viridescens,"Clarke County, GA, USA",33.9658,-83.3836,5,0.4,5,0.4,1,0,1.666666667,25-dry,25,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,167206.0761,167.2060761,2.22584168,3000000,6.477121255,42
114a,Raffel et al 2015,Urodela,Salamandridae,Salamandroidea,Notophthalmus,Notophthalmus_viridescens,"Clarke County, GA, USA",33.9658,-83.3836,5,0.2,5,0.2,1,0,2.5,25-wet,25,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,167206.0761,167.2060761,2.22584168,3000000,6.477121255,42
105a,Raffel et al 2015,Urodela,Salamandridae,Salamandroidea,Notophthalmus,Notophthalmus_viridescens,"Clarke County, GA, USA",33.9658,-83.3836,5,0,5,0,1,0,4.363636364,15-dry,15,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,167206.0761,167.2060761,2.22584168,3000000,6.477121255,42
111a,Raffel et al 2015,Urodela,Salamandridae,Salamandroidea,Notophthalmus,Notophthalmus_viridescens,"Clarke County, GA, USA",33.9658,-83.3836,5,0.8,5,0,33,3.5,3.070707071,15-wet,15,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,167206.0761,167.2060761,2.22584168,3000000,6.477121255,42
117a,Raffel et al 2015,Urodela,Salamandridae,Salamandroidea,Notophthalmus,Notophthalmus_viridescens,"Clarke County, GA, USA",33.9658,-83.3836,5,0.2,5,0,3.67,1.3,3.070707071,15-med,15,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,167206.0761,167.2060761,2.22584168,3000000,6.477121255,42
120a,Raffel et al 2015,Urodela,Salamandridae,Salamandroidea,Notophthalmus,Notophthalmus_viridescens,"Clarke County, GA, USA",33.9658,-83.3836,5,0.2,4,0,3,1.1,3.111111111,25-med,25,SRS812,51a,,"Savannah River Site, near Aiken, South Carolina.",Rana catesbeiana,33.3444,-81.7412,167206.0761,167.2060761,2.22584168,3000000,6.477121255,42
504a,Gahl et al 2012,Anura,Bufonidae,Bufonoidea,Anaxyrus,Bufo_americanus,"southwestern New Brunswick, Canada",46.107878,-66.319522,40,1,7,0.63,51.41,3.94,2.550974504,JEL423 A. laterale,20,JEL423,37a,GPL,"El Cope, Panama",Phyllomedusa lemur,8.62,-80.6,4373272.104,4373.272104,3.640905795,5500000,6.740362689,20
